201612220010002300000000000000028018                8000000000030556095597PAREXKLAUKOL S.A              000000009763830000000000000000000000000000000000000000229557000000000000000000000000275469000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612200010002300000000000000027984                8000000000030556095597PAREXKLAUKOL S.A              000000009238110000000000000000000000000000000000000000217197000000000000000000000000260636000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701030010002400000000000000004326                8000000000030681305129PROMET S.R.L                  000000001409976000000000000000000000000000000000000000000000000000000000000000000000017205000000000004932000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010007100000000000000012023                8000000000030644685906SALTA PLAST POLIETILENOS S.R.L000000000021599000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701140010007100000000000000012574                8000000000030644685906SALTA PLAST POLIETILENOS S.R.L000000000021599000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612190010000100000000000000001307                8000000000030715082337SANITEC S.R.L                 000000001255583000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701040010000300000000000000002340                8000000000027050998296PERALES SELVA ROSA            000000000033500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210010007200000000000000090443                8000000000030696173008TRADELOG S.A                  000000000041951000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701020010007200000000000000091985                8000000000030696173008TRADELOG S.A                  000000000071393000000000003373000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701160010007200000000000000093466                8000000000030696173008TRADELOG S.A                  000000000051953000000000002454000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210010000900000000000000013654                8000000000030699097884TST S.A                       000000000674454000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612110010209300000000000006531350                8000000000030678814357TELEFONICA MOVILES ARGENTINA S000000000000214000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612220010010100000000000000350012                8000000000030690633635EDESA S.A.                    000000000043982000000000015357000000000000000000000000000000000000000000000000000000000151000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612190010010100000000000000347586                8000000000030690633635EDESA S.A.                    000000000169291000000000009934000000000000000000000000000000000000000000000000000000004393000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210010010100000000000000348165                8000000000030690633635EDESA S.A.                    000000000138813000000000054706000000000000000000000000000000000000000000000000000000002318000000000000000000000000000000PES00010000002000000000000000000000000000000000000000000                              000000000000000
201612210010010100000000011111348165                8000000000030690633635EDESA S.A.                    000000000000149000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210010010100000000000000348177                8000000000030690633635EDESA S.A.                    000000000086688000000000047546000000000000000000000000000000000000000000000000000000001079000000000000000000000000000000PES00010000002000000000000000000000000000000000000000000                              000000000000000
201612210010010100000000011111348177                8000000000030690633635EDESA S.A.                    000000000000068000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612300010010100000000000000352855                8000000000030690633635EDESA S.A.                    000000000098359000000000042662000000000000000000000000000000000000000000000000000000001535000000000000000000000000000000PES00010000002000000000000000000000000000000000000000000                              000000000000000
201612300010010100000000011111352855                8000000000030690633635EDESA S.A.                    000000000000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612230010010100000000000000350751                8000000000030690633635EDESA S.A.                    000000000065688000000000041440000000000000000000000000000000000000000000000000000000000141000000000000000000000000000000PES00010000002000000000000000000000000000000000000000000                              000000000000000
201612230010010100000000011111350751                8000000000030690633635EDESA S.A.                    000000000000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
